00:27:28 = WRONG_CFG_CONTENT|1530635248891|Error|the Content of CFG File have mistakes|loadDepotCFG[CFGFile.java:913]<-loadCFG[CFGFile.java:46]<-run[MainProcess.java:71]|ServerMachineIndex Not Equals to Server_MachineIndex
01:19:58 = EXECUTE_COMMAND_FAILED|1530638398867|Error|Execute Command Failed|loadDepotCFG[CFGFile.java:1072]<-loadCFG[CFGFile.java:46]<-run[MainProcess.java:71]|QueryMachine and UpdateMachine[This] Failed
01:53:31 = EXECUTE_COMMAND_FAILED|1530640411259|Error|Execute Command Failed|loadDepotCFG[CFGFile.java:1072]<-loadCFG[CFGFile.java:46]<-run[MainProcess.java:71]|QueryMachine and UpdateMachine[This] Failed
01:56:11 = EXECUTE_COMMAND_FAILED|1530640571850|Error|Execute Command Failed|loadDepotCFG[CFGFile.java:1072]<-loadCFG[CFGFile.java:46]<-run[MainProcess.java:71]|QueryMachine and UpdateMachine[This] Failed
02:00:27 = EXECUTE_COMMAND_FAILED|1530640827821|Error|Execute Command Failed|loadDepotCFG[CFGFile.java:1072]<-loadCFG[CFGFile.java:46]<-run[MainProcess.java:71]|QueryMachine and UpdateMachine[This] Failed
02:02:27 = RECEIVE_OVER_TIME|1530640947182|Error|Too long to Receive Info|execute[SWRE.java:88]<-execute[SWRE.java:102]<-actionPerformed[MainForm.java:174]|You can check Your net make sure you and Server in a same LAN
02:02:48 = COMMUNICATOR_CONNECTION_CLOSED|1530640968799|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
02:03:39 = COMMUNICATOR_CONNECTION_CLOSED|1530641019552|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
02:04:37 = RECEIVE_OVER_TIME|1530641077317|Error|Too long to Receive Info|execute[SWRE.java:88]<-execute[SWRE.java:102]<-actionPerformed[MainForm.java:174]|You can check Your net make sure you and Server in a same LAN
02:08:48 = CLIENT_CONNECTION_RUNNING_FAILED|1530641328301|Error|Error occurs in Client Connection Running|run[ClientConnection.java:473]|java.net.SocketException: Connection reset
02:08:48 = COMMUNICATOR_CONNECTION_CLOSED|1530641328302|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
02:10:24 = EXECUTE_COMMAND_FAILED|1530641424058|Error|Execute Command Failed|loadDepotCFG[CFGFile.java:1072]<-loadCFG[CFGFile.java:46]<-run[MainProcess.java:71]|QueryMachine and UpdateMachine[This] Failed
02:14:22 = RECEIVE_OVER_TIME|1530641662215|Error|Too long to Receive Info|execute[SWRE.java:88]<-execute[SWRE.java:102]<-loadDepotCFG[CFGFile.java:1069]<-loadCFG[CFGFile.java:46]<-run[MainProcess.java:71]|You can check Your net make sure you and Server in a same LAN
02:17:04 = RECEIVE_OVER_TIME|1530641824558|Error|Too long to Receive Info|execute[SWRE.java:88]<-execute[SWRE.java:102]<-loadDepotCFG[CFGFile.java:1069]<-loadCFG[CFGFile.java:46]<-run[MainProcess.java:71]|You can check Your net make sure you and Server in a same LAN
02:20:16 = COMMUNICATOR_CONNECTION_CLOSED|1530642016383|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
03:05:13 = RECEIVE_OVER_TIME|1530644713126|Error|Too long to Receive Info|execute[SWRE.java:88]<-execute[SWRE.java:102]<-actionPerformed[MainForm.java:190]|You can check Your net make sure you and Server in a same LAN
03:09:07 = CLIENT_CONNECTION_RUNNING_FAILED|1530644947829|Error|Error occurs in Client Connection Running|run[ClientConnection.java:473]|java.net.SocketException: Connection reset
03:09:07 = COMMUNICATOR_CONNECTION_CLOSED|1530644947829|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
03:37:08 = RECEIVE_OVER_TIME|1530646628701|Error|Too long to Receive Info|execute[SWRE.java:90]<-execute[SWRE.java:104]<-loadDepotCFG[CFGFile.java:1016]<-loadCFG[CFGFile.java:46]<-run[MainProcess.java:71]|You can check Your net make sure you and Server in a same LAN
03:39:00 = RECEIVE_OVER_TIME|1530646740340|Error|Too long to Receive Info|execute[SWRE.java:90]<-execute[SWRE.java:104]<-actionPerformed[MainForm.java:190]|You can check Your net make sure you and Server in a same LAN
03:41:40 = CLIENT_CONNECTION_RUNNING_FAILED|1530646900884|Error|Error occurs in Client Connection Running|run[ClientConnection.java:473]|java.net.SocketException: Connection reset
03:41:40 = COMMUNICATOR_CONNECTION_CLOSED|1530646900885|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
03:47:31 = RECEIVE_OVER_TIME|1530647251530|Error|Too long to Receive Info|execute[SWRE.java:90]<-execute[SWRE.java:104]<-actionPerformed[MainForm.java:190]|You can check Your net make sure you and Server in a same LAN
03:49:56 = CLIENT_CONNECTION_RUNNING_FAILED|1530647396510|Error|Error occurs in Client Connection Running|run[ClientConnection.java:473]|java.net.SocketException: Connection reset
03:49:56 = COMMUNICATOR_CONNECTION_CLOSED|1530647396510|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
03:50:58 = RECEIVE_OVER_TIME|1530647458905|Error|Too long to Receive Info|execute[SWRE.java:90]<-execute[SWRE.java:104]<-actionPerformed[MainForm.java:190]|You can check Your net make sure you and Server in a same LAN
