11:10:25 = COMMUNICATOR_RUNNING_FAILED|1535512225052|Warning|Server Scanner Running Failed|run[Scanner.java:122]<-run[BasicProcess.java:222]|java.net.SocketException: socket closed
11:10:25 = COMMUNICATOR_RUNNING_FAILED|1535512225074|Warning|Error Occurs in Running|run[ServerConnection.java:278]<-run[BasicProcess.java:222]|[<-172.22.88.39:40000] java.net.SocketException: Socket closed
11:10:25 = CFG_WRONG_CONTENT|1535512225103|Warning|Content is Wrong|loadServer_MyNet[CFG.java:696]<-loadServerCFG[CFG.java:429]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|java.lang.NullPointerException
11:11:23 = OTHERS|1535512283130|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-query[Manager.java:239]<-check[TXTManager_File.java:93]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A
11:11:23 = OTHERS|1535512283130|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\1.jpg
11:11:23 = OTHERS|1535512283130|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\a1.jpg
11:11:23 = OTHERS|1535512283130|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\a4.jpg
11:11:23 = OTHERS|1535512283130|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\BBBB.jpg
11:11:23 = OTHERS|1535512283131|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\Konachan.com - 40519 sample.jpg
11:11:23 = OTHERS|1535512283131|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\Konachan.com - 42884 akane_iro_ni_somaru_saka clouds izumi_tsubasu nagase_minato ryohka seifuku sky wink.jpg
11:11:23 = OTHERS|1535512283131|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\Konachan.com - 42951 akane_iro_ni_somaru_saka nagase_minato ryohka white.jpg
11:11:23 = OTHERS|1535512283131|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\Konachan.com - 42959 akane_iro_ni_somaru_saka christmas hat nagase_minato ryohka santa_costume santa_hat school_swimsuit swimsuit thighhighs.jpg
11:11:23 = OTHERS|1535512283131|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\Konachan.com - 50234 sample.jpg
11:11:23 = OTHERS|1535512283131|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\Konachan.com - 53000 akane_iro_ni_somaru_saka nagase_minato ryohka.jpg
